Designator,MidX,MidY,Layer,Rotation
D0,44.01,-15.18,top,0
D1,48.01,-15.18,top,0
D2,52.01,-15.18,top,0
D3,56.01,-15.18,top,0
D4,60.01,-15.18,top,0
D5,64.01,-15.18,top,0
D6,68.01,-15.18,top,0
D7,72.01,-15.18,top,0
D8,76.01,-15.18,top,0
D9,80.01,-15.18,top,0
D10,44.01,-19.18,top,0
D11,48.01,-19.18,top,0
D12,52.01,-19.18,top,0
D13,56.01,-19.18,top,0
D14,60.01,-19.18,top,0
D15,64.01,-19.18,top,0
D16,68.01,-19.18,top,0
D17,72.01,-19.18,top,0
D18,76.01,-19.18,top,0
D19,80.01,-19.18,top,0
D20,44.01,-23.18,top,0
D21,48.01,-23.18,top,0
D22,52.01,-23.18,top,0
D23,56.01,-23.18,top,0
D24,60.01,-23.18,top,0
D25,64.01,-23.18,top,0
D26,68.01,-23.18,top,0
D27,72.01,-23.18,top,0
D28,76.01,-23.18,top,0
D29,80.01,-23.18,top,0
D30,44.01,-27.18,top,0
D31,48.01,-27.18,top,0
D32,52.01,-27.18,top,0
D33,56.01,-27.18,top,0
D34,60.01,-27.18,top,0
D35,64.01,-27.18,top,0
D36,68.01,-27.18,top,0
D37,72.01,-27.18,top,0
D38,76.01,-27.18,top,0
D39,80.01,-27.18,top,0
D40,44.01,-31.18,top,0
D41,48.01,-31.18,top,0
D42,52.01,-31.18,top,0
D43,56.01,-31.18,top,0
D44,60.01,-31.18,top,0
D45,64.01,-31.18,top,0
D46,68.01,-31.18,top,0
D47,72.01,-31.18,top,0
D48,76.01,-31.18,top,0
D49,80.01,-31.18,top,0
D50,44.01,-35.18,top,0
D51,48.01,-35.18,top,0
D52,52.01,-35.18,top,0
D53,56.01,-35.18,top,0
D54,60.01,-35.18,top,0
D55,64.01,-35.18,top,0
D56,68.01,-35.18,top,0
D57,72.01,-35.18,top,0
D58,76.01,-35.18,top,0
D59,80.01,-35.18,top,0
D60,44.01,-39.18,top,0
D61,48.01,-39.18,top,0
D62,52.01,-39.18,top,0
D63,56.01,-39.18,top,0
D64,60.01,-39.18,top,0
D65,64.01,-39.18,top,0
D66,68.01,-39.18,top,0
D67,72.01,-39.18,top,0
D68,76.01,-39.18,top,0
D69,80.01,-39.18,top,0
D70,44.01,-43.18,top,0
D71,48.01,-43.18,top,0
D72,52.01,-43.18,top,0
D73,56.01,-43.18,top,0
D74,60.01,-43.18,top,0
D75,64.01,-43.18,top,0
D76,68.01,-43.18,top,0
D77,72.01,-43.18,top,0
D78,76.01,-43.18,top,0
D79,80.01,-43.18,top,0
R0,43.18,-46.99,top,-90
R1,45.72,-46.99,top,-90
R2,48.26,-46.99,top,-90
R3,50.8,-46.99,top,-90
R4,53.34,-46.99,top,-90
R5,55.88,-46.99,top,-90
R6,58.42,-46.99,top,-90
R7,60.96,-46.99,top,-90
R8,63.5,-46.99,top,-90
R9,66.04,-46.99,top,-90
R10,68.58,-46.99,top,-90
R11,71.12,-46.99,top,-90
R12,73.66,-46.99,top,-90
R13,76.2,-46.99,top,-90
R14,78.74,-46.99,top,-90
R15,81.28,-46.99,top,-90
